11:26:56.546 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization started
11:26:56.613 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Mon Dec 07 11:26:56 CST 2015]; root of context hierarchy
11:26:56.651 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [config/spring/applicationContext.xml]
11:26:56.762 [main] INFO  o.s.c.a.ClassPathBeanDefinitionScanner - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
11:26:56.764 [main] INFO  o.s.c.a.ClassPathBeanDefinitionScanner - JSR-330 'javax.inject.Named' annotation found and supported for component scanning
11:26:56.893 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [D:\project\mavenproject\message.flzc.com\flzc-message-war\target\com.flzc.message-1.0-SNAPSHOT\WEB-INF\classes\config\spring\spring-database-dao.xml]
11:26:56.955 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [D:\project\mavenproject\message.flzc.com\flzc-message-war\target\com.flzc.message-1.0-SNAPSHOT\WEB-INF\classes\config\spring\spring-dubbo-provider.xml]
11:26:57.068 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [D:\project\mavenproject\message.flzc.com\flzc-message-war\target\com.flzc.message-1.0-SNAPSHOT\WEB-INF\classes\config\spring\spring-servlet-config.xml]
11:26:57.116 [main] INFO  o.s.c.a.ClassPathBeanDefinitionScanner - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
11:26:57.116 [main] INFO  o.s.c.a.ClassPathBeanDefinitionScanner - JSR-330 'javax.inject.Named' annotation found and supported for component scanning
11:26:57.211 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [config/spring/server.xml]
11:26:57.315 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from URL [jar:file:/D:/project/mavenproject/message.flzc.com/flzc-message-war/target/com.flzc.message-1.0-SNAPSHOT/WEB-INF/lib/com.flzc.base-1.0-SNAPSHOT.jar!/spring-memcache.xml]
11:26:57.581 [main] INFO  o.s.b.f.c.PropertyPlaceholderConfigurer - Loading properties file from file [D:\project\mavenproject\message.flzc.com\flzc-message-war\target\com.flzc.message-1.0-SNAPSHOT\WEB-INF\classes\config\config.properties]
11:26:57.581 [main] INFO  o.s.b.f.c.PropertyPlaceholderConfigurer - Loading properties file from file [D:\project\mavenproject\message.flzc.com\flzc-message-war\target\com.flzc.message-1.0-SNAPSHOT\WEB-INF\classes\config\datasource.properties]
11:26:57.590 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
